account;category;currency;amount;ref_currency_amount;type;payment_type;payment_type_local;note;date;gps_latitude;gps_longitude;gps_accuracy_in_meters;warranty_in_month;transfer;payee;labels;envelope_id;custom_category
Conto Arancio;Stipendio;EUR;1193,00;1193,00;Entrata;TRANSFER;Bonifico bancario;Stipendio Gaia base;2020-09-10 00:04:02;;;;0;false;;;10000;false
Contanti;Spesa;EUR;-0,55;-0,55;Spese;CASH;Contanti;Spesa;2020-09-09 19:01:28;;;;0;false;;;1000;false
Ticket;Spesa;EUR;-7,00;-7,00;Spese;VOUCHER;Coupon;Spesa;2020-09-09 19:01:11;;;;0;false;;;1000;false
Conto Unicredit;Ristoranti & Fast-food;EUR;-31,00;-31,00;Spese;CREDIT_CARD;Carta di credito;Pizza;2020-09-09 18:45:30;;;;0;false;;;1001;false
Contanti;Bar & Locali;EUR;-1,00;-1,00;Spese;CASH;Contanti;Caffe;2020-09-08 21:11:39;;;;0;false;;;1002;false
Conto Arancio;Altro;EUR;-20,00;-20,00;Spese;DEBIT_CARD;Carta di debito;Ricarica telefono nonna Nella;2020-09-08 21:09:52;;;;0;false;;;11000;false
Contanti;Eventi;EUR;-33,00;-33,00;Spese;CASH;Contanti;Go kart;2020-09-08 20:55:19;;;;0;false;;;6004;false
Conto Unicredit;Telefono;EUR;-22,00;-22,00;Spese;CASH;Contanti;Telefono Gaia;2020-09-08 12:00:00;;;;0;false;;;7001;false
Contanti;Bar & Locali;EUR;-3,00;-3,00;Spese;CASH;Contanti;Caffe Gaia lavoro;2020-09-07 18:56:26;;;;0;false;;;1002;false
Contanti;Bar & Locali;EUR;-2,00;-2,00;Spese;CASH;Contanti;Caffe;2020-09-07 18:55:59;;;;0;false;;;1002;false
Contanti;Entrate;EUR;50,00;50,00;Entrata;CASH;Contanti;Papà;2020-09-07 11:55:14;;;;0;false;;;10011;false
Contanti;Carburante;EUR;-10,00;-10,00;Spese;CASH;Contanti;Benzina smart;2020-09-07 11:54:58;;;;0;false;;;5000;false
Conto Unicredit;Salute;EUR;-93,50;-93,50;Spese;DEBIT_CARD;Carta di debito;Esami del sangue;2020-09-07 08:06:00;;;;0;false;;;6000;false
Conto Unicredit;Spesa;EUR;-11,25;-11,25;Spese;DEBIT_CARD;Carta di debito;Spesa;2020-09-06 18:36:35;;;;0;false;;;1000;false
Ticket;Spesa;EUR;-49,00;-49,00;Spese;VOUCHER;Coupon;Spesa con ticket;2020-09-06 18:36:11;;;;0;false;;;1000;false
Contanti;Casa & Giardino;EUR;-7,00;-7,00;Spese;CASH;Contanti;Brico casa;2020-09-05 14:34:50;;;;0;false;;;2004;false
Conto Unicredit;Casa & Giardino;EUR;-14,95;-14,95;Spese;DEBIT_CARD;Carta di debito;Steflor;2020-09-05 13:06:11;;;;0;false;;;2004;false
Conto Unicredit;Salute;EUR;-15,90;-15,90;Spese;DEBIT_CARD;Carta di debito;Farmacia;2020-09-05 11:27:18;;;;0;false;;;6000;false
Contanti;Bar & Locali;EUR;-0,50;-0,50;Spese;CASH;Contanti;Caffe Gaia lavoro;2020-09-04 20:56:06;;;;0;false;;;1002;false
Contanti;Bar & Locali;EUR;-2,40;-2,40;Spese;CASH;Contanti;Caffe Gaia lavoro;2020-09-02 19:00:37;;;;0;false;;;1002;false
PAC;TRANSFER;EUR;1000,00;1000,00;Entrata;TRANSFER;Bonifico bancario;Trasferimento a Degiro;2020-09-02 08:49:42;;;;0;true;;;20001;false
Conto Unicredit;TRANSFER;EUR;-1000,00;-1000,00;Spese;TRANSFER;Bonifico bancario;Trasferimento a Degiro;2020-09-02 08:49:42;;;;0;true;;;20001;false
Conto Unicredit;TRANSFER;EUR;-5000,00;-5000,00;Spese;TRANSFER;Bonifico bancario;Trasferimento in conto deposito;2020-09-02 08:45:23;;;;0;true;;;20001;false
Conto d'emergenza;TRANSFER;EUR;5000,00;5000,00;Entrata;TRANSFER;Bonifico bancario;Trasferimento in conto deposito;2020-09-02 08:45:23;;;;0;true;;;20001;false
Contanti;Bar & Locali;EUR;-1,00;-1,00;Spese;CASH;Contanti;Caffe Gaia lavoro;2020-09-01 18:49:24;;;;0;false;;;1002;false
Conto Unicredit;Eventi;EUR;-30,00;-30,00;Spese;MOBILE_PAYMENT;Pagamento mobile;Pizza a casa con cugini;2020-09-01 18:48:02;;;;0;false;;;6004;false
