account;category;currency;amount;ref_currency_amount;type;payment_type;payment_type_local;note;date;gps_latitude;gps_longitude;gps_accuracy_in_meters;warranty_in_month;transfer;payee;labels;envelope_id;custom_category
Conto Unicredit;TRANSFER;EUR;1091,00;1091,00;Entrata;TRANSFER;Bonifico bancario;Trasferimento in conto Unicredit;2021-04-10 21:20:33;;;;0;true;;;20001;false
Conto Arancio;TRANSFER;EUR;-1091,00;-1091,00;Spese;TRANSFER;Bonifico bancario;Trasferimento in conto Unicredit;2021-04-10 21:20:33;;;;0;true;;;20001;false
Conto Unicredit;Trasporto pubblico;EUR;-2,00;-2,00;Spese;DEBIT_CARD;Carta di debito;Biglietto metropolitana;2021-04-10 19:58:58;;;;0;false;;;4000;false
Conto Unicredit;TRANSFER;EUR;-200,00;-200,00;Spese;TRANSFER;Bonifico bancario;Trasferimento in conto emergenza;2021-04-10 07:59:27;;;;0;true;;;20001;false
Conto d'emergenza;TRANSFER;EUR;200,00;200,00;Entrata;TRANSFER;Bonifico bancario;Trasferimento in conto emergenza;2021-04-10 07:59:27;;;;0;true;;;20001;false
Conto Unicredit;TRANSFER;EUR;-800,00;-800,00;Spese;TRANSFER;Bonifico bancario;Trasferimento in conto deposito;2021-04-10 07:59:20;;;;0;true;;;20001;false
Conto Deposito Santander;TRANSFER;EUR;800,00;800,00;Entrata;TRANSFER;Bonifico bancario;Trasferimento in conto deposito;2021-04-10 07:59:20;;;;0;true;;;20001;false
PAC;TRANSFER;EUR;700,00;700,00;Entrata;TRANSFER;Bonifico bancario;Trasferimento a Degiro;2021-04-10 07:56:12;;;;0;true;;;20001;false
Conto Unicredit;TRANSFER;EUR;-700,00;-700,00;Spese;TRANSFER;Bonifico bancario;Trasferimento a Degiro;2021-04-10 07:56:12;;;;0;true;;;20001;false
Conto Arancio;Stipendio;EUR;1266,00;1266,00;Entrata;TRANSFER;Bonifico bancario;Stipendio Gaia base;2021-04-10 00:30:06;;;;0;false;;;10000;false
Ticket;Stipendio;EUR;168,00;168,00;Entrata;VOUCHER;Coupon;Stipendio Niccolò Ticket;2021-04-10 00:28:54;;;;0;false;;;10000;false
Conto Unicredit;Stipendio;EUR;1786,06;1786,06;Entrata;TRANSFER;Bonifico bancario;Stipendio Niccolò base;2021-04-10 00:28:48;;;;0;false;;;10000;false
Conto Unicredit;Telefono;EUR;-16,00;-16,00;Spese;CASH;Contanti;Telefono Gaia;2021-04-08 12:00:00;;;;0;false;;;7001;false
Revolut;Bar & Locali;EUR;-0,35;-0,35;Spese;MOBILE_PAYMENT;Pagamento mobile;Caffe;2021-04-07 13:12:21;;;;0;false;;;1002;false
Contanti;TRANSFER;EUR;-400,00;-400,00;Spese;CASH;Contanti;Trasferimento in conto Unicredit;2021-04-07 07:58:13;;;;0;true;;;20001;false
Conto Unicredit;TRANSFER;EUR;400,00;400,00;Entrata;CASH;Contanti;Trasferimento in conto Unicredit;2021-04-07 07:58:13;;;;0;true;;;20001;false
Contanti;Bar & Locali;EUR;-1,00;-1,00;Spese;CASH;Contanti;Caffe Gaia lavoro;2021-04-06 21:10:04;;;;0;false;;;1002;false
Contanti;Manutenzione;EUR;-144,00;-144,00;Spese;CASH;Contanti;Ana;2021-04-06 00:12:51;;;;0;false;;;3004;false
Contanti;TRANSFER;EUR;140,00;140,00;Entrata;DEBIT_CARD;Carta di debito;Trasferimento in conto Unicredit;2021-04-05 11:00:14;;;;0;true;;;20001;false
Conto Arancio;TRANSFER;EUR;-140,00;-140,00;Spese;DEBIT_CARD;Carta di debito;Trasferimento in conto Unicredit;2021-04-05 11:00:14;;;;0;true;;;20001;false
Conto Arancio;Spesa;EUR;-6,28;-6,28;Spese;DEBIT_CARD;Carta di debito;Spesa;2021-04-05 10:59:59;;;;0;false;;;1000;false
Conto Unicredit;Spesa;EUR;-89,39;-89,39;Spese;DEBIT_CARD;Carta di debito;Spesa;2021-04-03 20:07:16;;;;0;false;;;1000;false
Ticket;Spesa;EUR;-56,00;-56,00;Spese;VOUCHER;Coupon;Spesa con ticket;2021-04-03 20:06:59;;;;0;false;;;1000;false
Contanti;Casa & Giardino;EUR;-10,00;-10,00;Spese;CASH;Contanti;Fiori;2021-04-03 11:18:47;;;;0;false;;;2004;false
Conto Arancio;Salute;EUR;-26,80;-26,80;Spese;DEBIT_CARD;Carta di debito;Farmacia;2021-04-03 11:18:16;;;;0;false;;;6000;false
Contanti;Bar & Locali;EUR;-3,00;-3,00;Spese;CASH;Contanti;Caffe Gaia lavoro;2021-04-02 18:39:09;;;;0;false;;;1002;false
Contanti;Stipendio;EUR;400,00;400,00;Entrata;CASH;Contanti;Stipendio Gaia base;2021-04-01 21:04:23;;;;0;false;;;10000;false
Contanti;Bar & Locali;EUR;-2,00;-2,00;Spese;CASH;Contanti;Caffe Gaia lavoro;2021-04-01 20:57:50;;;;0;false;;;1002;false
Conto Unicredit;Tariffe, tasse;EUR;-3,85;-3,85;Spese;CASH;Contanti;Tassa conto corrente;2021-04-01 12:00:00;;;;0;false;;;8005;false
Conto Unicredit;Mutuo;EUR;-570,28;-570,28;Spese;CASH;Contanti;Mutuo;2021-04-01 12:00:00;;;;0;false;;;3001;false
Conto Unicredit;Spesa;EUR;-3,99;-3,99;Spese;MOBILE_PAYMENT;Pagamento mobile;Spesa;2021-03-31 20:22:14;;;;0;false;;;1000;false
Conto Unicredit;Bar & Locali;EUR;-6,00;-6,00;Spese;DEBIT_CARD;Carta di debito;Gelato;2021-03-30 18:48:14;;;;0;false;;;1002;false
Revolut;Bar & Locali;EUR;-0,35;-0,35;Spese;DEBIT_CARD;Carta di debito;Caffe;2021-03-30 18:39:44;;;;0;false;;;1002;false
Contanti;TRANSFER;EUR;20,00;20,00;Entrata;CASH;Contanti;Prelievo;2021-03-29 20:30:34;;;;0;true;;;20001;false
Conto Unicredit;TRANSFER;EUR;-20,00;-20,00;Spese;CASH;Contanti;Prelievo;2021-03-29 20:30:34;;;;0;true;;;20001;false
Conto Unicredit;Carburante;EUR;-10,82;-10,82;Spese;DEBIT_CARD;Carta di debito;Captur Gpl;2021-03-29 19:28:14;;;;0;false;;;5000;false
Contanti;Carburante;EUR;-10,00;-10,00;Spese;CASH;Contanti;Captur Gpl;2021-03-29 19:27:57;;;;0;false;;;5000;false
Contanti;Stipendio;EUR;10,00;10,00;Entrata;CASH;Contanti;Stipendio Niccolò Welfare;2021-03-29 19:27:32;;;;0;false;;;10000;false
Conto Unicredit;Libri & Abbonamenti;EUR;-15,99;-15,99;Spese;MOBILE_PAYMENT;Pagamento mobile;Abbonamento Spotify;2021-03-28 22:31:51;;;;0;false;;;6007;false
Conto Unicredit;TRANSFER;EUR;500,00;500,00;Entrata;TRANSFER;Bonifico bancario;Trasferimento in conto Unicredit;2021-03-28 21:27:21;;;;0;true;;;20001;false
Conto d'emergenza;TRANSFER;EUR;-500,00;-500,00;Spese;TRANSFER;Bonifico bancario;Trasferimento in conto Unicredit;2021-03-28 21:27:21;;;;0;true;;;20001;false
Conto Unicredit;Regali;EUR;-33,99;-33,99;Spese;CREDIT_CARD;Carta di credito;Regalo per Simone;2021-03-28 21:10:11;;;;0;false;;;2007;false
Conto Unicredit;Spesa;EUR;-3,99;-3,99;Spese;MOBILE_PAYMENT;Pagamento mobile;Spesa;2021-03-28 20:23:54;;;;0;false;;;1000;false
Contanti;Carburante;EUR;-25,00;-25,00;Spese;CASH;Contanti;Captur Benzina;2021-03-27 18:23:57;;;;0;false;;;5000;false
Contanti;Stipendio;EUR;25,00;25,00;Entrata;CASH;Contanti;Stipendio Niccolò Welfare;2021-03-27 18:23:21;;;;0;false;;;10000;false
Contanti;Bar & Locali;EUR;-1,00;-1,00;Spese;CASH;Contanti;Caffe Gaia lavoro;2021-03-26 20:12:02;;;;0;false;;;1002;false
Revolut;Bar & Locali;EUR;-0,35;-0,35;Spese;DEBIT_CARD;Carta di debito;Caffe;2021-03-25 18:42:05;;;;0;false;;;1002;false
Revolut;Bar & Locali;EUR;-0,35;-0,35;Spese;DEBIT_CARD;Carta di debito;Caffe;2021-03-24 19:57:20;;;;0;false;;;1002;false
Contanti;Bar & Locali;EUR;-2,50;-2,50;Spese;CASH;Contanti;Caffe Gaia lavoro;2021-03-24 19:56:59;;;;0;false;;;1002;false
Contanti;Bar & Locali;EUR;-0,30;-0,30;Spese;DEBIT_CARD;Carta di debito;Caffe;2021-03-23 20:37:17;;;;0;false;;;1002;false
Contanti;Bar & Locali;EUR;-4,00;-4,00;Spese;CASH;Contanti;Caffe Gaia lavoro;2021-03-23 20:35:38;;;;0;false;;;1002;false
Conto Arancio;Eventi;EUR;-21,90;-21,90;Spese;DEBIT_CARD;Carta di debito;Fiori per compleanno Bea;2021-03-22 21:53:02;;;;0;false;;;6004;false
Contanti;Bar & Locali;EUR;-0,50;-0,50;Spese;CASH;Contanti;Caffe;2021-03-22 21:52:41;;;;0;false;;;1002;false
Contanti;Abbigliamento & Scarpe;EUR;-11,00;-11,00;Spese;CASH;Contanti;Tintoria;2021-03-20 21:48:36;;;;0;false;;;2000;false
Conto Unicredit;Spesa;EUR;-26,97;-26,97;Spese;DEBIT_CARD;Carta di debito;Spesa;2021-03-20 18:53:30;;;;0;false;;;1000;false
Ticket;Spesa;EUR;-56,00;-56,00;Spese;VOUCHER;Coupon;Spesa con ticket;2021-03-20 18:52:22;;;;0;false;;;1000;false
Conto Unicredit;Assicurazioni;EUR;-7,63;-7,63;Spese;CASH;Contanti;Assicurazione Vita;2021-03-20 12:00:00;;;;0;false;;;8001;false
Contanti;Bar & Locali;EUR;-1,00;-1,00;Spese;CASH;Contanti;Caffe Gaia lavoro;2021-03-19 21:25:48;;;;0;false;;;1002;false
Contanti;Bar & Locali;EUR;-1,00;-1,00;Spese;CASH;Contanti;Caffe Gaia lavoro;2021-03-18 19:03:03;;;;0;false;;;1002;false
Conto Arancio;Trasporto pubblico;EUR;-456,00;-456,00;Spese;MOBILE_PAYMENT;Pagamento mobile;Abbonamento ATM Gaia;2021-03-18 12:00:00;;;;0;false;;;4000;false
Contanti;Salute;EUR;-65,00;-65,00;Spese;CASH;Contanti;Visita dermatologica Gaia;2021-03-17 19:03:33;;;;0;false;;;6000;false
Contanti;Stipendio;EUR;65,00;65,00;Entrata;CASH;Contanti;Stipendio Niccolò Welfare;2021-03-17 19:03:11;;;;0;false;;;10000;false
Contanti;Bar & Locali;EUR;-3,00;-3,00;Spese;CASH;Contanti;Caffe Gaia lavoro;2021-03-17 19:02:38;;;;0;false;;;1002;false
Contanti;Bar & Locali;EUR;-1,00;-1,00;Spese;CASH;Contanti;Caffe Gaia lavoro;2021-03-16 21:08:17;;;;0;false;;;1002;false
Conto Unicredit;TRANSFER;EUR;-500,00;-500,00;Spese;DEBIT_CARD;Carta di debito;Trasferimento a conto arancio;2021-03-16 20:08:43;;;;0;true;;;20001;false
Conto Arancio;TRANSFER;EUR;500,00;500,00;Entrata;DEBIT_CARD;Carta di debito;Trasferimento a conto arancio;2021-03-16 20:08:43;;;;0;true;;;20001;false
Contanti;Bar & Locali;EUR;-2,00;-2,00;Spese;CASH;Contanti;Caffe Gaia lavoro;2021-03-15 18:52:38;;;;0;false;;;1002;false
Conto Unicredit;Leasing;EUR;-255,91;-255,91;Spese;CASH;Contanti;Rata Captur;2021-03-15 12:00:00;;;;0;false;;;8006;false
Contanti;Salute;EUR;-65,00;-65,00;Spese;CASH;Contanti;Visita senologica;2021-03-15 08:18:00;;;;0;false;;;6000;false
Contanti;Stipendio;EUR;65,00;65,00;Entrata;CASH;Contanti;Stipendio Niccolò Welfare;2021-03-15 08:17:36;;;;0;false;;;10000;false
Contanti;Bellezza & Benessere;EUR;-30,00;-30,00;Spese;CASH;Contanti;Crema viso;2021-03-14 13:48:20;;;;0;false;;;2002;false
Contanti;Manutenzione veicoli;EUR;-3,00;-3,00;Spese;CASH;Contanti;Lavaggio Captur;2021-03-13 19:45:02;;;;0;false;;;5002;false
Conto Arancio;Altro;EUR;-3,76;-3,76;Spese;DEBIT_CARD;Carta di debito;Pane per nonna Gaia;2021-03-13 11:44:51;;;;0;false;;;11000;false
Conto Arancio;Bellezza & Benessere;EUR;-45,00;-45,00;Spese;DEBIT_CARD;Carta di debito;Estetista;2021-03-13 11:44:17;;;;0;false;;;2002;false
Ticket;Spesa;EUR;-49,00;-49,00;Spese;VOUCHER;Coupon;Spesa con ticket;2021-03-13 10:45:14;;;;0;false;;;1000;false
Conto Unicredit;Spesa;EUR;-9,69;-9,69;Spese;DEBIT_CARD;Carta di debito;Spesa;2021-03-13 10:44:41;;;;0;false;;;1000;false
Conto Unicredit;Rimborsi (tasse, acquisti);EUR;20,00;20,00;Entrata;TRANSFER;Bonifico bancario;Ricarica spotify (Fabry);2021-03-13 08:58:05;;;;0;false;;;10008;false
Conto Unicredit;TRANSFER;EUR;-200,00;-200,00;Spese;TRANSFER;Bonifico bancario;Trasferimento a conto arancio;2021-03-12 20:43:52;;;;0;true;;;20001;false
Conto Arancio;TRANSFER;EUR;200,00;200,00;Entrata;TRANSFER;Bonifico bancario;Trasferimento a conto arancio;2021-03-12 20:43:52;;;;0;true;;;20001;false
Contanti;Ristoranti & Fast-food;EUR;-28,00;-28,00;Spese;CASH;Contanti;Sushi;2021-03-12 19:47:49;;;;0;false;;;1001;false
Contanti;Ristoranti & Fast-food;EUR;-11,50;-11,50;Spese;CASH;Contanti;Pizza;2021-03-11 19:38:20;;;;0;false;;;1001;false
Contanti;Bar & Locali;EUR;-1,00;-1,00;Spese;CASH;Contanti;Caffe Gaia lavoro;2021-03-11 19:37:14;;;;0;false;;;1002;false
Contanti;Stipendio;EUR;84,00;84,00;Entrata;CASH;Contanti;Stipendio Gaia (Prina);2021-03-11 19:36:41;;;;0;false;;;10000;false
Contanti;Ristoranti & Fast-food;EUR;-11,00;-11,00;Spese;CASH;Contanti;Pranzo Gaia;2021-03-10 21:21:12;;;;0;false;;;1001;false
Contanti;Bar & Locali;EUR;-2,50;-2,50;Spese;CASH;Contanti;Caffe Gaia lavoro;2021-03-10 21:21:09;;;;0;false;;;1002;false
Contanti;TRANSFER;EUR;-350,00;-350,00;Spese;TRANSFER;Bonifico bancario;Trasferimento in conto Unicredit;2021-03-10 19:38:21;;;;0;true;;;20001;false
Conto Unicredit;TRANSFER;EUR;350,00;350,00;Entrata;TRANSFER;Bonifico bancario;Trasferimento in conto Unicredit;2021-03-10 19:38:21;;;;0;true;;;20001;false
Conto Unicredit;TRANSFER;EUR;1000,00;1000,00;Entrata;TRANSFER;Bonifico bancario;Trasferimento in conto Unicredit;2021-03-10 19:38:09;;;;0;true;;;20001;false
Conto Arancio;TRANSFER;EUR;-1000,00;-1000,00;Spese;TRANSFER;Bonifico bancario;Trasferimento in conto Unicredit;2021-03-10 19:38:09;;;;0;true;;;20001;false
Ticket;Stipendio;EUR;147,00;147,00;Entrata;VOUCHER;Coupon;Stipendio Niccolò Ticket;2021-03-10 08:49:31;;;;0;false;;;10000;false
Conto Unicredit;Stipendio;EUR;1795,60;1795,60;Entrata;TRANSFER;Bonifico bancario;Stipendio Niccolò base;2021-03-10 08:48:04;;;;0;false;;;10000;false
Conto Arancio;Stipendio;EUR;1074,00;1074,00;Entrata;TRANSFER;Bonifico bancario;Stipendio Gaia base;2021-03-10 08:15:09;;;;0;false;;;10000;false
Conto Unicredit;TRANSFER;EUR;-1000,00;-1000,00;Spese;TRANSFER;Bonifico bancario;Trasferimento in conto deposito;2021-03-10 00:26:45;;;;0;true;;;20001;false
Conto Deposito Santander;TRANSFER;EUR;1000,00;1000,00;Entrata;TRANSFER;Bonifico bancario;Trasferimento in conto deposito;2021-03-10 00:26:45;;;;0;true;;;20001;false
Conto Unicredit;TRANSFER;EUR;-200,00;-200,00;Spese;TRANSFER;Bonifico bancario;Trasferimento conto emergenza;2021-03-10 00:25:28;;;;0;true;;;20001;false
Conto d'emergenza;TRANSFER;EUR;200,00;200,00;Entrata;TRANSFER;Bonifico bancario;Trasferimento conto emergenza;2021-03-10 00:25:28;;;;0;true;;;20001;false
PAC;TRANSFER;EUR;500,00;500,00;Entrata;TRANSFER;Bonifico bancario;Trasferimento a Degiro;2021-03-10 00:16:00;;;;0;true;;;20001;false
Conto Unicredit;TRANSFER;EUR;-500,00;-500,00;Spese;TRANSFER;Bonifico bancario;Trasferimento a Degiro;2021-03-10 00:16:00;;;;0;true;;;20001;false
Contanti;Bar & Locali;EUR;-2,00;-2,00;Spese;CASH;Contanti;Caffe Gaia lavoro;2021-03-09 21:32:42;;;;0;false;;;1002;false
Conto Arancio;Bar & Locali;EUR;-3,00;-3,00;Spese;DEBIT_CARD;Carta di debito;Caffe Gaia lavoro;2021-03-09 21:32:19;;;;0;false;;;1002;false
Contanti;Bar & Locali;EUR;-0,50;-0,50;Spese;DEBIT_CARD;Carta di debito;Caffe;2021-03-08 18:50:38;;;;0;false;;;1002;false
Contanti;Bar & Locali;EUR;-1,00;-1,00;Spese;CASH;Contanti;Caffe Gaia lavoro;2021-03-08 18:50:16;;;;0;false;;;1002;false
Conto Unicredit;Eventi;EUR;-11,40;-11,40;Spese;DEBIT_CARD;Carta di debito;Dolci per festa della donna;2021-03-08 18:49:56;;;;0;false;;;6004;false
Conto Unicredit;Telefono;EUR;-16,00;-16,00;Spese;CASH;Contanti;Telefono Gaia;2021-03-08 12:00:00;;;;0;false;;;7001;false
Contanti;Bar & Locali;EUR;-2,00;-2,00;Spese;CASH;Contanti;Caffe Gaia lavoro;2021-03-05 20:47:02;;;;0;false;;;1002;false
Revolut;Bar & Locali;EUR;-0,35;-0,35;Spese;DEBIT_CARD;Carta di debito;Caffe kalpa;2021-03-05 20:20:51;;;;0;false;;;1002;false
Conto Unicredit;Ristoranti & Fast-food;EUR;-20,40;-20,40;Spese;DEBIT_CARD;Carta di debito;Cena da McDonald's;2021-03-05 20:20:19;;;;0;false;;;1001;false
Conto Arancio;Eventi;EUR;-15,00;-15,00;Spese;DEBIT_CARD;Carta di debito;Dolce per amiche Gaia;2021-03-04 23:51:10;;;;0;false;;;6004;false
Contanti;Carburante;EUR;-10,00;-10,00;Spese;CASH;Contanti;Captur Gpl;2021-03-04 19:35:34;;;;0;false;;;5000;false
Contanti;Stipendio;EUR;10,00;10,00;Entrata;CASH;Contanti;Stipendio Niccolò Welfare;2021-03-04 19:35:09;;;;0;false;;;10000;false
Conto Unicredit;Carburante;EUR;-9,74;-9,74;Spese;DEBIT_CARD;Carta di debito;Captur Gpl;2021-03-04 19:34:42;;;;0;false;;;5000;false
Contanti;Bar & Locali;EUR;-3,30;-3,30;Spese;CASH;Contanti;Caffe Gaia lavoro;2021-03-03 13:51:05;;;;0;false;;;1002;false
Revolut;Bar & Locali;EUR;-0,35;-0,35;Spese;DEBIT_CARD;Carta di debito;Caffe;2021-03-03 13:50:44;;;;0;false;;;1002;false
Contanti;Bar & Locali;EUR;-2,00;-2,00;Spese;CASH;Contanti;Caffe Gaia lavoro;2021-03-02 19:42:29;;;;0;false;;;1002;false
Contanti;Manutenzione;EUR;-125,00;-125,00;Spese;CASH;Contanti;Ana;2021-03-02 00:01:14;;;;0;false;;;3004;false
Conto Unicredit;Spesa;EUR;-12,91;-12,91;Spese;DEBIT_CARD;Carta di debito;Spesa;2021-03-01 19:36:26;;;;0;false;;;1000;false
Ticket;Spesa;EUR;-42,00;-42,00;Spese;VOUCHER;Coupon;Spesa con ticket;2021-03-01 19:35:21;;;;0;false;;;1000;false
Contanti;Bar & Locali;EUR;-1,00;-1,00;Spese;CASH;Contanti;Caffe Gaia lavoro;2021-03-01 19:02:32;;;;0;false;;;1002;false
Contanti;TRANSFER;EUR;100,00;100,00;Entrata;CASH;Contanti;Prelievo;2021-03-01 19:01:59;;;;0;true;;;20001;false
Conto Unicredit;TRANSFER;EUR;-100,00;-100,00;Spese;CASH;Contanti;Prelievo;2021-03-01 19:01:59;;;;0;true;;;20001;false
Conto Unicredit;Mutuo;EUR;-570,28;-570,28;Spese;CASH;Contanti;Mutuo;2021-03-01 12:00:00;;;;0;false;;;3001;false
Conto Unicredit;Tariffe, tasse;EUR;-3,85;-3,85;Spese;CASH;Contanti;Tassa conto corrente;2021-03-01 12:00:00;;;;0;false;;;8005;false
Contanti;Stipendio;EUR;400,00;400,00;Entrata;CASH;Contanti;Stipendio Gaia Simone;2021-03-01 01:49:28;;;;0;false;;;10000;false
Contanti;Bar & Locali;EUR;-5,40;-5,40;Spese;CASH;Contanti;Gelato;2021-02-28 20:28:27;;;;0;false;;;1002;false
Conto Unicredit;Libri & Abbonamenti;EUR;-15,99;-15,99;Spese;DEBIT_CARD;Carta di debito;Abbonamento Spotify;2021-02-28 00:01:37;;;;0;false;;;6007;false
Conto Unicredit;Energia & Utenze;EUR;-80,34;-80,34;Spese;CASH;Contanti;Bolletta Luce;2021-02-27 12:00:00;;;;0;false;;;3002;false
Conto Unicredit;Ristoranti & Fast-food;EUR;-30,50;-30,50;Spese;DEBIT_CARD;Carta di debito;Mivida;2021-02-26 20:25:24;;;;0;false;;;1001;false
Contanti;Bar & Locali;EUR;-1,00;-1,00;Spese;CASH;Contanti;Caffe Gaia lavoro;2021-02-26 18:48:30;;;;0;false;;;1002;false
Contanti;Bar & Locali;EUR;-4,80;-4,80;Spese;CASH;Contanti;Caffe in kalpa;2021-02-26 10:43:28;;;;0;false;;;1002;false
Contanti;Bar & Locali;EUR;-5,80;-5,80;Spese;CASH;Contanti;Caffe Gaia lavoro;2021-02-25 21:02:08;;;;0;false;;;1002;false
Contanti;Bar & Locali;EUR;-1,00;-1,00;Spese;CASH;Contanti;Caffe Gaia lavoro;2021-02-24 19:59:02;;;;0;false;;;1002;false
Revolut;Bar & Locali;EUR;-1,05;-1,05;Spese;DEBIT_CARD;Carta di debito;Caffe kalpa;2021-02-24 13:26:57;;;;0;false;;;1002;false
Contanti;Bar & Locali;EUR;-1,00;-1,00;Spese;CASH;Contanti;Caffe Gaia lavoro;2021-02-23 21:56:20;;;;0;false;;;1002;false
Contanti;Bar & Locali;EUR;-1,00;-1,00;Spese;CASH;Contanti;Caffe Gaia lavoro;2021-02-22 19:21:04;;;;0;false;;;1002;false
Conto Arancio;Bar & Locali;EUR;-2,00;-2,00;Spese;DEBIT_CARD;Carta di debito;Caffe Gaia lavoro;2021-02-22 19:20:47;;;;0;false;;;1002;false
Conto Unicredit;TRANSFER;EUR;700,00;700,00;Entrata;TRANSFER;Bonifico bancario;Trasferimento a conto corrente;2021-02-21 20:12:10;;;;0;true;;;20001;false
Conto d'emergenza;TRANSFER;EUR;-700,00;-700,00;Spese;TRANSFER;Bonifico bancario;Trasferimento a conto corrente;2021-02-21 20:12:10;;;;0;true;;;20001;false
Conto Unicredit;Casa & Giardino;EUR;-499,00;-499,00;Spese;DEBIT_CARD;Carta di debito;Scopa elettrica dyson;2021-02-21 20:04:51;;;;0;false;;;2004;false
Revolut;Bar & Locali;EUR;-5,80;-5,80;Spese;DEBIT_CARD;Carta di debito;Gelato;2021-02-20 20:35:08;;;;0;false;;;1002;false
Conto Unicredit;Parcheggio;EUR;-2,50;-2,50;Spese;DEBIT_CARD;Carta di debito;Parcheggio Lecco;2021-02-20 20:19:47;;;;0;false;;;5001;false
Contanti;Ristoranti & Fast-food;EUR;-22,00;-22,00;Spese;CASH;Contanti;Pranzo consorzio;2021-02-20 16:38:02;;;;0;false;;;1001;false
Contanti;Manutenzione veicoli;EUR;-10,00;-10,00;Spese;CASH;Contanti;Lavaggio Captur;2021-02-20 12:44:25;;;;0;false;;;5002;false
Contanti;Bar & Locali;EUR;-3,40;-3,40;Spese;CASH;Contanti;Colazione;2021-02-20 12:44:12;;;;0;false;;;1002;false
Conto Unicredit;Assicurazioni;EUR;-7,63;-7,63;Spese;CASH;Contanti;Assicurazione Vita;2021-02-20 12:00:00;;;;0;false;;;8001;false
Contanti;Bar & Locali;EUR;-2,00;-2,00;Spese;CASH;Contanti;Caffe Gaia lavoro;2021-02-19 18:57:38;;;;0;false;;;1002;false
Conto Unicredit;Energia & Utenze;EUR;-73,77;-73,77;Spese;CASH;Contanti;Bolletta internet linea fissa;2021-02-19 12:00:00;;;;0;false;;;3002;false
Conto Arancio;Ristoranti & Fast-food;EUR;-11,50;-11,50;Spese;DEBIT_CARD;Carta di debito;Pranzo Gaia;2021-02-18 20:45:55;;;;0;false;;;1001;false
Contanti;Bar & Locali;EUR;-1,00;-1,00;Spese;CASH;Contanti;Caffe Gaia lavoro;2021-02-18 19:56:49;;;;0;false;;;1002;false
Conto Unicredit;Spesa;EUR;-77,22;-77,22;Spese;DEBIT_CARD;Carta di debito;Spesa;2021-02-18 19:55:47;;;;0;false;;;1000;false
Ticket;Spesa;EUR;-56,00;-56,00;Spese;VOUCHER;Coupon;Spesa con ticket;2021-02-18 19:55:28;;;;0;false;;;1000;false
Revolut;Ristoranti & Fast-food;EUR;-4,50;-4,50;Spese;DEBIT_CARD;Carta di debito;Pranzo BarBass;2021-02-18 13:24:40;;;;0;false;;;1001;false
Conto Arancio;Ristoranti & Fast-food;EUR;-30,50;-30,50;Spese;DEBIT_CARD;Carta di debito;Cena Movida anniversario;2021-02-17 20:02:49;;;;0;false;;;1001;false
Conto Arancio;Eventi;EUR;-6,00;-6,00;Spese;DEBIT_CARD;Carta di debito;Dolce anniversario;2021-02-17 20:02:20;;;;0;false;;;6004;false
Conto Arancio;Bar & Locali;EUR;-3,00;-3,00;Spese;DEBIT_CARD;Carta di debito;Caffe Gaia lavoro;2021-02-17 20:02:05;;;;0;false;;;1002;false
Contanti;Bar & Locali;EUR;-1,00;-1,00;Spese;CASH;Contanti;Caffe Gaia lavoro;2021-02-17 20:01:47;;;;0;false;;;1002;false
Conto Unicredit;Carburante;EUR;-7,15;-7,15;Spese;DEBIT_CARD;Carta di debito;Captur Gpl;2021-02-16 21:13:17;;;;0;false;;;5000;false
Contanti;Carburante;EUR;-10,00;-10,00;Spese;CASH;Contanti;Captur Gpl;2021-02-16 21:12:52;;;;0;false;;;5000;false
Contanti;Stipendio;EUR;10,00;10,00;Entrata;CASH;Contanti;Stipendio Niccolò Welfare;2021-02-16 21:10:54;;;;0;false;;;10000;false
Contanti;Bar & Locali;EUR;-1,00;-1,00;Spese;CASH;Contanti;Caffe Gaia lavoro;2021-02-16 08:57:55;;;;0;false;;;1002;false
Contanti;Salute;EUR;-65,00;-65,00;Spese;CASH;Contanti;Visita ginecologica Gaia;2021-02-16 00:05:48;;;;0;false;;;6000;false
Contanti;Stipendio;EUR;65,00;65,00;Entrata;CASH;Contanti;Stipendio Niccolò Welfare;2021-02-16 00:04:35;;;;0;false;;;10000;false
Contanti;Bar & Locali;EUR;-1,00;-1,00;Spese;CASH;Contanti;Caffe Gaia lavoro;2021-02-15 19:51:07;;;;0;false;;;1002;false
Conto Unicredit;Leasing;EUR;-255,91;-255,91;Spese;CASH;Contanti;Rata Captur;2021-02-15 12:00:00;;;;0;false;;;8006;false
Conto Arancio;Eventi;EUR;-9,06;-9,06;Spese;DEBIT_CARD;Carta di debito;Dolci per cena;2021-02-14 19:41:53;;;;0;false;;;6004;false
Conto Arancio;Eventi;EUR;-16,90;-16,90;Spese;DEBIT_CARD;Carta di debito;Torta per cena;2021-02-13 22:45:55;;;;0;false;;;6004;false
Conto Unicredit;Viaggi;EUR;-12,44;-12,44;Spese;TRANSFER;Bonifico bancario;Telepass;2021-02-13 21:06:13;;;;0;false;;;4002;false
Conto Arancio;Salute;EUR;-15,10;-15,10;Spese;DEBIT_CARD;Carta di debito;Farmacia;2021-02-13 15:02:18;;;;0;false;;;6000;false
Conto Arancio;Parcheggio;EUR;-1,00;-1,00;Spese;DEBIT_CARD;Carta di debito;Parcheggio Como;2021-02-13 15:01:46;;;;0;false;;;5001;false
